no	url	Lat	Lng	Price	DateListed	LastEdit	SelerType	Make	Model	Variant	BodyType	Year	Km	Trans	DriveTrain	Fuel	AC	Cyl	EngLit	Reg	RegExp	RegNum	Country	State
887	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-a6-4g-my16-s-line-s-tronic-quattro-blue-7-speed-sports-automatic-dual-clutch-sedan/1106230528	-38.03999329	145.3483887	79990	 04/03/2017	 04/03/2017	Dealer used	Audi	A6	3.0 TDi QUATTRO	Sedan	2016	6854	Automatic	All Wheel Drive	Diesel	Yes	6	3	No	01-02-17	AHI020	Germany	Victoria
888	https://www.gumtree.com.au//s-ad/kings-meadows/cars-vans-utes/2016-audi-a3-8v-my16-ambition-s-tronic-white-7-speed-sports-automatic-dual-clutch-sedan/1140957950	-41.46475601	147.1581421	51990	 04/03/2017	 04/03/2017	Dealer used	Audi	A3	1.8 TFSI AMBITION	Sedan	2016	2100	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	1	Yes	01-09-17	F62JT	Germany	Tasmania
889	https://www.gumtree.com.au//s-ad/kings-meadows/cars-vans-utes/2016-audi-sq5-8r-my16-tdi-tiptronic-quattro-white-8-speed-sports-automatic-wagon/1141138347	-41.46475601	147.1581421	79990	 06/03/2017	 06/03/2017	Dealer used	Audi	SQ5	3.0 TDI QUATTRO	Wagon	2016	35000	Automatic	All Wheel Drive	Diesel	Yes	6	3			E07WE	Germany	Tasmania
890	https://www.gumtree.com.au//s-ad/burwood/cars-vans-utes/2016-audi-a5-8t-my16-sportback-s-tronic-quattro-black-7-speed-sports-automatic-dual-clutch-hatchback/1135214319	-37.8510704	145.0987549	81990	 06/03/2017	 06/03/2017	Dealer used	Audi	A5	SPORTBACK 3.0 TDI QUATTRO	Hatchback	2016	2600	Automatic	All Wheel Drive	Diesel	Yes	6	3			AKO180	Germany	Victoria
891	https://www.gumtree.com.au//s-ad/burwood/cars-vans-utes/2016-audi-a5-8t-my16-sportback-s-tronic-quattro-black-7-speed-sports-automatic-dual-clutch-hatchback/1141139440	-37.8510704	145.0987549	64990	 06/03/2017	 06/03/2017	Dealer used	Audi	A5	SPORTBACK 2.0 TFSI QUATTRO	Hatchback	2016	5001	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	2			ALA491	Germany	Victoria
892	https://www.gumtree.com.au//s-ad/richmond/cars-vans-utes/2016-audi-tt-coupe/1141143971	-37.820335	145.002457	65000	 06/03/2017	 06/03/2017	Private seller	Audi	TT	2.0 TFSI QUATTRO SPORT	Coupe (2 door)	2016	4000	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	2	Yes			Germany	Victoria
893	https://www.gumtree.com.au//s-ad/springwood/cars-vans-utes/2016-audi-a6-4g-my16-s-line-tiptronic-quattro-bi-turbo-grey-8-speed-sports-automatic-sedan/1138277203	-27.62226868	153.1256104	79990	 06/03/2017	 06/03/2017	Dealer used	Audi	A6	3.0 TDI BITURBO QUATTRO	Sedan	2016	2148	Automatic	All Wheel Drive	Diesel	Yes	6	3				Germany	Queensland
894	https://www.gumtree.com.au//s-ad/rozelle/cars-vans-utes/2016-audi-q3-8u-my16-tfsi-s-tronic-quattro-sport-white-7-speed-sports-automatic-dual-clutch-wagon/1140861440	-33.86510468	151.1772614	53800	 03/03/2017	 03/03/2017	Dealer used	Audi	Q3	2.0 TFSI SPORT QUATTRO (132kW)	Wagon	2016	5168	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	2			DHP71P	Germany	New South Wales
895	https://www.gumtree.com.au//s-ad/burwood/cars-vans-utes/2016-audi-a4-b9-f4-my16-sport-s-tronic-quattro-white-7-speed-sports-automatic-dual-clutch-sedan/1138280566	-37.8510704	145.0987549	74990	 06/03/2017	 06/03/2017	Dealer used	Audi	A4	2.0 TDI QUATTRO S TRONIC SPORT	Sedan	2016	2100	Automatic	All Wheel Drive	Diesel	Yes	4	2			ALV313	Germany	Victoria
896	https://www.gumtree.com.au//s-ad/west-end/cars-vans-utes/audi-a4-immaculate-condition/1139749801	-27.48381	153.005184	7500	 20/02/2017	 20/02/2017	Private seller	Audi	A4	2	Sedan	2005	194000	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	2	Yes	17-10-17	724VHO	Germany	Queensland
897	https://www.gumtree.com.au//s-ad/templestowe/cars-vans-utes/audi-a4-swaps/1139866255	-37.754	145.148747	13000	 21/02/2017	 26/02/2017	Private seller	Audi	A4	3.0 QUATTRO	Sedan	2005	122000	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	6	3	Yes			Germany	Victoria
898	https://www.gumtree.com.au//s-ad/floreat/cars-vans-utes/2005-audi-a4-sedan-low-mileage-auto-s-roof-leather-seats-cruise/1139841105	-31.9386	115.789985	7895	 21/02/2017	 28/02/2017	Private seller	Audi	A4	2	Sedan	2005	86114	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	2	Yes		1BYY600	Germany	Western Australia
899	https://www.gumtree.com.au//s-ad/mile-end/cars-vans-utes/2005-audi-tt-coupe/1139768418	-34.925278	138.560833	5500	 20/02/2017	 20/02/2017	Private seller	Audi	TT	All Others	Coupe (2 door)	2005	87000	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	1	No			Germany	South Australia
900	https://www.gumtree.com.au//s-ad/heatherbrae/cars-vans-utes/audi-sed/1140029111	-32.788785	151.736774	6200	 24/02/2017	 23/02/2017	Private seller	Audi	A4	2	Sedan	2005	260000	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	2	Yes	20-03-17	yes 	Germany	New South Wales
